link,caption
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_158.jpg,a white plate topped with a cut in half sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_151.jpg,a bowl of soup with broccoli and carrots 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_137.jpg,"a plate of food that includes a sandwich , salad and a sandwich "
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_152.jpg,a bowl of soup with carrots and other vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_140.jpg,a table topped with plates of food and drinks 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_159.jpg,a man in a suit and tie sitting at a desk 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_155.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_179.jpg,a man in a suit and tie holding a microphone 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_163.jpg,a bowl of soup with a spoon in it
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_169.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_162.jpg,a bowl of soup with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_177.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_150.jpg,a table topped with lots of different types of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_175.jpg,a bowl of soup with broccoli and carrots 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_167.jpg,a plate of food with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_17.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_168.jpg,a man in a suit and tie sitting at a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_178.jpg,a close up of a plate of food with broccoli
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_180.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_172.jpg,a plate of food that includes rice and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_160.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_171.jpg,a plate of food with a fork and knife 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_170.jpg,a table topped with plates and bowls of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_198.jpg,a white plate topped with a sandwich and a salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_199.jpg,a slice of pizza sitting on top of a white plate 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_173.jpg,a white plate topped with a slice of pizza 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_174.jpg,a bunch of different types of food on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_189.jpg,a table topped with plates and bowls of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_2.jpg,a man sitting at a table with a plate of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_161.jpg,a plate of food with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_176.jpg,a plate of food that is on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_196.jpg,a bowl of food with broccoli and carrots 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_188.jpg,a man sitting at a table with a plate of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_164.jpg,a white plate topped with a salad and a salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_18.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_16.jpg,a white bowl filled with lots of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_182.jpg,a plate of food with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_183.jpg,a plate of food with a fork and knife 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_186.jpg,a white plate topped with a cut in half sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_181.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_20.jpg,a man sitting at a table with a plate of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_192.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_165.jpg,a cutting board with a bunch of vegetables on it
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_187.jpg,a man sitting at a table with a plate of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_200.jpg,a plate of food with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_193.jpg,a bowl of food that is on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_204.jpg,a plate of food with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_185.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_190.jpg,a group of young men playing a game of soccer 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_207.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_195.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_203.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_19.jpg,a white plate topped with a cut in half sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_191.jpg,a bowl of salad with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_201.jpg,a group of young men playing a game of soccer 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_194.jpg,a white plate topped with a cut in half sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_197.jpg,a close up of a pizza on a pan
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_206.jpg,a bowl of soup with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_21.jpg,a bowl of soup with a spoon in it
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_14.jpg,a white bowl filled with lots of vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_213.jpg,a plate of food that is on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_184.jpg,a bowl of soup with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_166.jpg,a sandwich and french fries on a plate 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_209.jpg,a plate of food that is on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_208.jpg,a bowl of soup with carrots and broccoli
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_202.jpg,a pizza with cheese and tomatoes on a plate 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_205.jpg,a bowl of soup sitting on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_215.jpg,a bowl of soup with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_221.jpg,a plate of food with a fork and knife 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_211.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_212.jpg,a group of people standing on top of a sandy beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_214.jpg,a bowl of food with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_224.jpg,a table topped with lots of different colored flowers 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_210.jpg,a white plate topped with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_240.jpg,a plate of food that is on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_225.jpg,a table with a bowl of vegetables and a bowl of salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_223.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_222.jpg,a table topped with plates of food and drinks 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_246.jpg,a bowl of food with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_23.jpg,a plate of food with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_238.jpg,a white plate topped with a pile of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_231.jpg,a large body of water filled with lots of boats 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_248.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_236.jpg,a white plate topped with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_249.jpg,a bowl of soup and a sandwich on a plate 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_232.jpg,a white plate topped with a cut in half sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_237.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_219.jpg,a bowl of soup with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_228.jpg,a bunch of different types of food on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_229.jpg,a white plate topped with a cut in half sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_216.jpg,a table topped with plates and bowls of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_234.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_217.jpg,a white plate topped with a salad and a salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_227.jpg,a cutting board with chopped carrots and onions 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_242.jpg,a white plate topped with a salad and a sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_254.jpg,a plate of food with a fork and knife 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_245.jpg,a large body of water filled with lots of boats 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_25.jpg,a bowl of soup with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_247.jpg,a plate of food with a fork and knife 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_253.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_233.jpg,a bowl of food with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_220.jpg,a bowl of soup with broccoli and carrots 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_226.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_244.jpg,a table topped with lots of different types of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_230.jpg,a table topped with plates and bowls of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_241.jpg,a table topped with plates and bowls of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_261.jpg,a bowl of soup with a spoon in it
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_24.jpg,a sandwich and french fries on a plate 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_255.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_257.jpg,a white plate topped with a salad and a salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_262.jpg,a table topped with plates and bowls of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_239.jpg,a close up of a plate of food with broccoli
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_269.jpg,a woman sitting at a table with a plate of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_218.jpg,a white bowl filled with lots of vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_250.jpg,a sandwich and french fries on a plate 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_265.jpg,a bowl of soup with broccoli and carrots 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_268.jpg,a bowl of soup with carrots and other vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_259.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_243.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_256.jpg,a table topped with lots of different colored vases 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_235.jpg,a white plate topped with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_267.jpg,a white plate topped with a salad and a sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_252.jpg,a white plate topped with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_26.jpg,a bowl of food with broccoli and carrots 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_270.jpg,a table topped with lots of different types of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_260.jpg,a white plate topped with a cut in half sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_272.jpg,a table topped with plates and bowls of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_22.jpg,a pan filled with pasta and vegetables on top of a stove 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_263.jpg,a group of people standing on top of a boat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_251.jpg,"a plate of food that includes a sandwich , salad and a sandwich "
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_27.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_266.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_271.jpg,a bowl of soup with broccoli and carrots 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_280.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_278.jpg,a white plate topped with a cut in half sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_276.jpg,a bowl of soup with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_285.jpg,a cutting board with a bunch of vegetables on it
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_281.jpg,a plate of food with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_277.jpg,a group of young men playing a game of soccer 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_264.jpg,a bowl of food with broccoli and carrots 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_273.jpg,a white plate topped with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_258.jpg,a table topped with plates and bowls of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_287.jpg,a white plate topped with a salad and a salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_274.jpg,a plate of food with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_279.jpg,a bowl of soup with a spoon in it
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_284.jpg,a bowl of soup sitting on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_283.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_28.jpg,a plate of food that is on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_275.jpg,a plate of food with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_282.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_286.jpg,a plate of food that includes rice and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_291.jpg,a white plate topped with a slice of pizza 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_288.jpg,a man in a suit and tie standing in front of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_3.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_319.jpg,a group of people sitting around a table with food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_32.jpg,a bunch of food that is on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_29.jpg,a bowl of food that is on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_302.jpg,a man sitting at a table with a plate of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_293.jpg,a bowl of soup with broccoli and carrots 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_318.jpg,a woman is preparing food in a kitchen 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_301.jpg,a plate of food with a fork and knife 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_317.jpg,a group of people standing around a table with a cake 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_299.jpg,a man sitting on a bench in front of a building 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_311.jpg,a group of people sitting around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_294.jpg,a plate of food that is on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_304.jpg,a bowl of soup with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_307.jpg,a man and a woman sitting on a bench 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_313.jpg,a group of people posing for a picture 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_289.jpg,a table topped with plates and bowls of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_310.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_303.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_290.jpg,a plate of food with a fork and knife 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_30.jpg,a plate of food with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_305.jpg,a white bowl filled with rice and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_300.jpg,a plate of food with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_309.jpg,a sign that is on the side of a wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_295.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_296.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_298.jpg,a man sitting at a table with a plate of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_292.jpg,a bunch of different types of food on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_328.jpg,a plate of food with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_306.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_332.jpg,a group of boats floating on top of a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_31.jpg,a pizza with cheese and tomatoes on a plate 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_334.jpg,a person is flying a kite on the beach 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_314.jpg,a group of people sitting around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_327.jpg,a man standing on a beach flying a kite 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_324.jpg,a group of people walking down a street holding umbrellas 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_321.jpg,a group of people standing around a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_326.jpg,a group of people walking down a rain soaked street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_315.jpg,a group of people standing next to each other 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_323.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_297.jpg,a white bowl filled with lots of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_322.jpg,a man riding a motorcycle down a curvy road 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_331.jpg,a man standing on a beach flying a kite 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_308.jpg,a man in a suit and tie standing in front of a sign 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_320.jpg,a group of people on a boat in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_325.jpg,a group of people sitting around a table with food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_312.jpg,a group of young men playing a game of soccer 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_316.jpg,a group of people walking down a rain soaked street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_330.jpg,a group of people walking down a street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_333.jpg,a group of people on a boat in the water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_329.jpg,a flock of birds flying over a body of water 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_348.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_339.jpg,a group of people walking down a rain soaked street 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_337.jpg,a boat is parked on the side of the road 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_336.jpg,a man standing on a beach flying a kite 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_34.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_349.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_340.jpg,a surfboard is propped up against a wall 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_343.jpg,a plate of food that is on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_33.jpg,a table topped with plates of food and drinks 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_364.jpg,a plate of food with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_362.jpg,a bowl of soup with broccoli and carrots 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_352.jpg,a bunch of different types of food on a table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_338.jpg,a close up of a bowl of broccoli
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_351.jpg,a table topped with plates and bowls of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_341.jpg,a collage of photos with different types of scissors 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_355.jpg,a bowl of soup with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_344.jpg,a table topped with plates of food and drinks 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_350.jpg,a plate of food with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_335.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_357.jpg,a table with a bowl of vegetables and a bowl of salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_353.jpg,a cutting board with chopped carrots and onions 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_35.jpg,a view of a river with a bridge in the background 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_361.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_38.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_368.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_370.jpg,a white plate topped with a salad and a sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_347.jpg,a plate of food with vegetables and meat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_356.jpg,a table topped with lots of different types of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_37.jpg,a plate of food with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_367.jpg,a bowl of soup and a bowl of soup 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_45.jpg,a close up of a plate of food with broccoli
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_342.jpg,a bowl of soup with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_369.jpg,a plate of food with a fork and knife 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_363.jpg,a plate of food on a dining table 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_39.jpg,a plate of food with a fork and knife 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_40.jpg,a white plate topped with meat and vegetables 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_44.jpg,a bowl of salad with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_346.jpg,a white plate topped with a salad and a salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_359.jpg,a white plate topped with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_48.jpg,a white plate topped with a sandwich and salad 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_43.jpg,a white plate topped with a cut in half sandwich 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_4.jpg,a bowl of soup and a sandwich on a plate 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_360.jpg,a white plate topped with a pile of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_42.jpg,a plate of food with vegetables and meat 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_366.jpg,a bowl of food with a spoon in it 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_354.jpg,a table topped with plates of food and drinks 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_41.jpg,a table topped with plates and bowls of food 
D:/SE2023-9.1/SDmodel/data/train\Vietnam food\Image_6_46.jpg,a kitchen filled with lots of counter top space 
